TE	Freq	Fraction	Tissue_Number	Sex	Type
LINE	2	0.285714285714286	38	Female	LincRNA
LTR	3	0.428571428571429	38	Female	LincRNA
SINE	2	0.285714285714286	38	Female	LincRNA
DNA	1	0.2	39	Female	LincRNA
LINE	1	0.2	39	Female	LincRNA
LTR	1	0.2	39	Female	LincRNA
SINE	2	0.4	39	Female	LincRNA
LINE	2	0.666666666666667	40	Female	LincRNA
SINE	1	0.333333333333333	40	Female	LincRNA
DNA	1	0.0714285714285714	41	Female	LincRNA
LINE	3	0.214285714285714	41	Female	LincRNA
LTR	3	0.214285714285714	41	Female	LincRNA
SINE	7	0.5	41	Female	LincRNA
DNA	2	0.166666666666667	42	Female	LincRNA
LINE	1	0.0833333333333333	42	Female	LincRNA
LTR	8	0.666666666666667	42	Female	LincRNA
SINE	1	0.0833333333333333	42	Female	LincRNA
LINE	5	0.357142857142857	43	Female	LincRNA
LTR	4	0.285714285714286	43	Female	LincRNA
SINE	5	0.357142857142857	43	Female	LincRNA
DNA	4	0.137931034482759	44	Female	LincRNA
LINE	2	0.0689655172413793	44	Female	LincRNA
LTR	7	0.241379310344828	44	Female	LincRNA
SINE	16	0.551724137931034	44	Female	LincRNA
DNA	6	0.0508474576271186	45	Female	LincRNA
LINE	38	0.322033898305085	45	Female	LincRNA
LTR	35	0.296610169491525	45	Female	LincRNA
SINE	39	0.330508474576271	45	Female	LincRNA
