TE	Freq	Fraction	Tissue_Number	Sex	Type
LTR	3	0.333333333333333	33	Male	Protein-coding
SINE	4	0.444444444444444	33	Male	Protein-coding
DNA	1	0.111111111111111	34	Male	Protein-coding
LINE	3	0.333333333333333	34	Male	Protein-coding
LTR	1	0.111111111111111	34	Male	Protein-coding
SINE	4	0.444444444444444	34	Male	Protein-coding
LTR	2	0.4	35	Male	Protein-coding
SINE	3	0.6	35	Male	Protein-coding
LINE	3	0.272727272727273	36	Male	Protein-coding
LTR	6	0.545454545454545	36	Male	Protein-coding
SINE	2	0.181818181818182	36	Male	Protein-coding
DNA	2	0.133333333333333	37	Male	Protein-coding
LINE	5	0.333333333333333	37	Male	Protein-coding
LTR	2	0.133333333333333	37	Male	Protein-coding
SINE	6	0.4	37	Male	Protein-coding
LTR	4	0.4	38	Male	Protein-coding
SINE	6	0.6	38	Male	Protein-coding
DNA	4	0.25	39	Male	Protein-coding
LINE	1	0.0625	39	Male	Protein-coding
LTR	5	0.3125	39	Male	Protein-coding
SINE	6	0.375	39	Male	Protein-coding
DNA	4	0.2	40	Male	Protein-coding
LINE	4	0.2	40	Male	Protein-coding
LTR	7	0.35	40	Male	Protein-coding
SINE	5	0.25	40	Male	Protein-coding
LINE	7	0.466666666666667	41	Male	Protein-coding
LTR	3	0.2	41	Male	Protein-coding
SINE	5	0.333333333333333	41	Male	Protein-coding
DNA	2	0.117647058823529	42	Male	Protein-coding
LINE	6	0.352941176470588	42	Male	Protein-coding
LTR	2	0.117647058823529	42	Male	Protein-coding
SINE	7	0.411764705882353	42	Male	Protein-coding
DNA	2	0.0344827586206897	43	Male	Protein-coding
LINE	12	0.206896551724138	43	Male	Protein-coding
LTR	12	0.206896551724138	43	Male	Protein-coding
SINE	32	0.551724137931034	43	Male	Protein-coding
DNA	17	0.0949720670391061	44	Male	Protein-coding
LINE	67	0.374301675977654	44	Male	Protein-coding
LTR	18	0.100558659217877	44	Male	Protein-coding
SINE	77	0.430167597765363	44	Male	Protein-coding
DNA	12	0.0909090909090909	1	Female	Protein-coding
LINE	46	0.348484848484849	1	Female	Protein-coding
LTR	36	0.272727272727273	1	Female	Protein-coding
SINE	38	0.287878787878788	1	Female	Protein-coding
DNA	3	0.0441176470588235	2	Female	Protein-coding
LINE	31	0.455882352941176	2	Female	Protein-coding
LTR	14	0.205882352941176	2	Female	Protein-coding
SINE	20	0.294117647058824	2	Female	Protein-coding
DNA	1	0.0263157894736842	3	Female	Protein-coding
LINE	15	0.394736842105263	3	Female	Protein-coding
LTR	5	0.131578947368421	3	Female	Protein-coding
SINE	17	0.447368421052632	3	Female	Protein-coding
DNA	4	0.0909090909090909	4	Female	Protein-coding
LINE	13	0.295454545454545	4	Female	Protein-coding
LTR	16	0.363636363636364	4	Female	Protein-coding
SINE	11	0.25	4	Female	Protein-coding
DNA	3	0.130434782608696	5	Female	Protein-coding
LINE	8	0.347826086956522	5	Female	Protein-coding
LTR	4	0.173913043478261	5	Female	Protein-coding
SINE	8	0.347826086956522	5	Female	Protein-coding
DNA	3	0.103448275862069	6	Female	Protein-coding
LINE	2	0.0689655172413793	6	Female	Protein-coding
LTR	11	0.379310344827586	6	Female	Protein-coding
SINE	13	0.448275862068966	6	Female	Protein-coding
DNA	5	0.277777777777778	7	Female	Protein-coding
LINE	3	0.166666666666667	7	Female	Protein-coding
LTR	4	0.222222222222222	7	Female	Protein-coding
SINE	6	0.333333333333333	7	Female	Protein-coding
DNA	1	0.0384615384615385	8	Female	Protein-coding
LINE	9	0.346153846153846	8	Female	Protein-coding
LTR	7	0.269230769230769	8	Female	Protein-coding
SINE	9	0.346153846153846	8	Female	Protein-coding
LINE	2	0.153846153846154	9	Female	Protein-coding
LTR	2	0.153846153846154	9	Female	Protein-coding
SINE	9	0.692307692307692	9	Female	Protein-coding
DNA	3	0.214285714285714	10	Female	Protein-coding
LINE	3	0.214285714285714	10	Female	Protein-coding
LTR	5	0.357142857142857	10	Female	Protein-coding
SINE	3	0.214285714285714	10	Female	Protein-coding
DNA	5	0.2	11	Female	Protein-coding
LINE	4	0.16	11	Female	Protein-coding
LTR	8	0.32	11	Female	Protein-coding
SINE	8	0.32	11	Female	Protein-coding
DNA	5	0.263157894736842	12	Female	Protein-coding
LINE	6	0.31578947368421	12	Female	Protein-coding
LTR	5	0.263157894736842	12	Female	Protein-coding
SINE	3	0.157894736842105	12	Female	Protein-coding
LINE	5	0.3125	13	Female	Protein-coding
LTR	2	0.125	13	Female	Protein-coding
SINE	9	0.5625	13	Female	Protein-coding
LINE	4	0.266666666666667	14	Female	Protein-coding
LTR	4	0.266666666666667	14	Female	Protein-coding
SINE	7	0.466666666666667	14	Female	Protein-coding
DNA	1	0.1	15	Female	Protein-coding
LINE	8	0.8	15	Female	Protein-coding
LTR	1	0.1	15	Female	Protein-coding
DNA	8	0.5	16	Female	Protein-coding
LINE	2	0.125	16	Female	Protein-coding
LTR	3	0.1875	16	Female	Protein-coding
SINE	3	0.1875	16	Female	Protein-coding
DNA	1	0.111111111111111	17	Female	Protein-coding
LINE	3	0.333333333333333	17	Female	Protein-coding
SINE	5	0.555555555555556	17	Female	Protein-coding
LINE	2	0.105263157894737	18	Female	Protein-coding
LTR	12	0.631578947368421	18	Female	Protein-coding
SINE	5	0.263157894736842	18	Female	Protein-coding
DNA	2	0.166666666666667	19	Female	Protein-coding
LINE	1	0.0833333333333333	19	Female	Protein-coding
LTR	6	0.5	19	Female	Protein-coding
SINE	3	0.25	19	Female	Protein-coding
LINE	4	0.5	20	Female	Protein-coding
LTR	1	0.125	20	Female	Protein-coding
SINE	3	0.375	20	Female	Protein-coding
DNA	1	0.166666666666667	21	Female	Protein-coding
LINE	1	0.166666666666667	21	Female	Protein-coding
SINE	4	0.666666666666667	21	Female	Protein-coding
DNA	1	0.111111111111111	22	Female	Protein-coding
LINE	3	0.333333333333333	22	Female	Protein-coding
LTR	3	0.333333333333333	22	Female	Protein-coding
SINE	2	0.222222222222222	22	Female	Protein-coding
LINE	3	0.230769230769231	23	Female	Protein-coding
LTR	1	0.0769230769230769	23	Female	Protein-coding
SINE	9	0.692307692307692	23	Female	Protein-coding
LINE	2	0.5	24	Female	Protein-coding
SINE	2	0.5	24	Female	Protein-coding
LTR	3	0.333333333333333	25	Female	Protein-coding
SINE	6	0.666666666666667	25	Female	Protein-coding
DNA	1	0.111111111111111	26	Female	Protein-coding
LINE	3	0.333333333333333	26	Female	Protein-coding
SINE	5	0.555555555555556	26	Female	Protein-coding
DNA	2	0.333333333333333	27	Female	Protein-coding
LTR	3	0.5	27	Female	Protein-coding
SINE	1	0.166666666666667	27	Female	Protein-coding
DNA	3	0.176470588235294	28	Female	Protein-coding
LTR	10	0.588235294117647	28	Female	Protein-coding
SINE	4	0.235294117647059	28	Female	Protein-coding
DNA	1	0.0714285714285714	29	Female	Protein-coding
LINE	4	0.285714285714286	29	Female	Protein-coding
LTR	4	0.285714285714286	29	Female	Protein-coding
SINE	5	0.357142857142857	29	Female	Protein-coding
DNA	3	0.5	30	Female	Protein-coding
LINE	1	0.166666666666667	30	Female	Protein-coding
SINE	2	0.333333333333333	30	Female	Protein-coding
DNA	2	0.142857142857143	31	Female	Protein-coding
LINE	4	0.285714285714286	31	Female	Protein-coding
LTR	4	0.285714285714286	31	Female	Protein-coding
SINE	4	0.285714285714286	31	Female	Protein-coding
LINE	1	0.1	32	Female	Protein-coding
LTR	4	0.4	32	Female	Protein-coding
SINE	5	0.5	32	Female	Protein-coding
DNA	1	0.0769230769230769	33	Female	Protein-coding
LINE	1	0.0769230769230769	33	Female	Protein-coding
LTR	5	0.384615384615385	33	Female	Protein-coding
SINE	6	0.461538461538462	33	Female	Protein-coding
DNA	2	0.222222222222222	34	Female	Protein-coding
LINE	3	0.333333333333333	34	Female	Protein-coding
LTR	3	0.333333333333333	34	Female	Protein-coding
SINE	1	0.111111111111111	34	Female	Protein-coding
DNA	1	0.0833333333333333	35	Female	Protein-coding
LINE	3	0.25	35	Female	Protein-coding
LTR	2	0.166666666666667	35	Female	Protein-coding
SINE	6	0.5	35	Female	Protein-coding
LTR	7	1	36	Female	Protein-coding
LINE	1	0.142857142857143	37	Female	Protein-coding
SINE	6	0.857142857142857	37	Female	Protein-coding
DNA	3	0.1875	38	Female	Protein-coding
LINE	2	0.125	38	Female	Protein-coding
LTR	3	0.1875	38	Female	Protein-coding
SINE	8	0.5	38	Female	Protein-coding
LINE	5	0.625	39	Female	Protein-coding
SINE	3	0.375	39	Female	Protein-coding
DNA	3	0.142857142857143	40	Female	Protein-coding
LINE	7	0.333333333333333	40	Female	Protein-coding
LTR	3	0.142857142857143	40	Female	Protein-coding
SINE	8	0.380952380952381	40	Female	Protein-coding
DNA	2	0.1	41	Female	Protein-coding
LINE	3	0.15	41	Female	Protein-coding
LTR	6	0.3	41	Female	Protein-coding
SINE	9	0.45	41	Female	Protein-coding
DNA	1	0.1	42	Female	Protein-coding
LINE	2	0.2	42	Female	Protein-coding
LTR	3	0.3	42	Female	Protein-coding
SINE	4	0.4	42	Female	Protein-coding
LINE	3	0.375	43	Female	Protein-coding
LTR	3	0.375	43	Female	Protein-coding
SINE	2	0.25	43	Female	Protein-coding
DNA	5	0.116279069767442	44	Female	Protein-coding
LINE	11	0.255813953488372	44	Female	Protein-coding
LTR	10	0.232558139534884	44	Female	Protein-coding
SINE	17	0.395348837209302	44	Female	Protein-coding
DNA	16	0.08	45	Female	Protein-coding
LINE	71	0.355	45	Female	Protein-coding
LTR	21	0.105	45	Female	Protein-coding
SINE	92	0.46	45	Female	Protein-coding
DNA	20	0.0711743772241993	1	Male	LincRNA
LINE	62	0.220640569395018	1	Male	LincRNA
LTR	159	0.565836298932384	1	Male	LincRNA
SINE	40	0.142348754448399	1	Male	LincRNA
DNA	2	0.024390243902439	2	Male	LincRNA
LINE	15	0.182926829268293	2	Male	LincRNA
LTR	51	0.621951219512195	2	Male	LincRNA
SINE	14	0.170731707317073	2	Male	LincRNA
DNA	5	0.125	3	Male	LincRNA
LINE	6	0.15	3	Male	LincRNA
LTR	22	0.55	3	Male	LincRNA
SINE	7	0.175	3	Male	LincRNA
LINE	6	0.166666666666667	4	Male	LincRNA
LTR	21	0.583333333333333	4	Male	LincRNA
SINE	9	0.25	4	Male	LincRNA
DNA	2	0.117647058823529	5	Male	LincRNA
LINE	1	0.0588235294117647	5	Male	LincRNA
LTR	8	0.470588235294118	5	Male	LincRNA
SINE	6	0.352941176470588	5	Male	LincRNA
LINE	2	0.105263157894737	6	Male	LincRNA
LTR	10	0.526315789473684	6	Male	LincRNA
SINE	7	0.368421052631579	6	Male	LincRNA
LINE	2	0.0869565217391304	7	Male	LincRNA
LTR	16	0.695652173913043	7	Male	LincRNA
SINE	5	0.217391304347826	7	Male	LincRNA
