	Testis_sex1	Adrenal_Gland_sex1	Brain_Spinal_cord_cervical_c_1_sex1	Brain_Amygdala_sex1	Brain_Anterior_cingulate_cortex_BA24_sex1	Brain_Caudate_basal_ganglia_sex1	Brain_Cortex_sex1	Brain_Frontal_Cortex_BA9_sex1	Brain_Hippocampus_sex1	Brain_Hypothalamus_sex1	Brain_Nucleus_accumbens_basal_ganglia_sex1	Brain_Putamen_basal_ganglia_sex1	Brain_Substantia_nigra_sex1	Brain_Cerebellar_Hemisphere_sex1	Brain_Cerebellum_sex1	Pituitary_sex1	Kidney_Cortex_sex1	Liver_sex1	Thyroid_sex1	Spleen_sex1	Whole_Blood_sex1	Esophagus_Mucosa_sex1	Skin_Not_Sun_Exposed_Suprapubic_sex1	Skin_Sun_Exposed_Lower_leg_sex1	Heart_Atrial_Appendage_sex1	Heart_Left_Ventricle_sex1	Muscle_Skeletal_sex1	Lung_sex1	Nerve_Tibial_sex1	Pancreas_sex1	Minor_Salivary_Gland_sex1	Adipose_Subcutaneous_sex1	Adipose_Visceral_Omentum_sex1	Breast_Mammary_Tissue_sex1	Colon_Transverse_sex1	Small_Intestine_Terminal_Ileum_sex1	Stomach_sex1	Artery_Aorta_sex1	Artery_Tibial_sex1	Artery_Coronary_sex1	Colon_Sigmoid_sex1	Esophagus_Muscularis_sex1	Esophagus_Gastroesophageal_Junction_sex1	Prostate_sex1
ENST00000475841.2	1.05175074	0.774067185	-1.020195791	-0.849313603	-0.667751278	-0.13374444	-0.037623209	-0.592990321	-0.539589637	-0.261906081	0.005097338	-0.443468406	-0.913394423	0.208019936	0.65658568	4.063549307	0.090538432	3.347980144	0.731346638	1.094471287	-1.543522492	-0.742512235	-0.881354013	-0.92407456	-0.283266355	-0.123064303	-0.95611497	-0.422108132	-0.411427996	-0.261906081	-0.19782526	-0.176464987	0.111898706	0.250740483	0.037137748	0.282780894	-0.272586218	-0.411427996	-0.710471825	-0.10170403	0.282780894	0.133258979	0.26142062	0.496383629
ENST00000476196.5	-0.040001399	0.049894219	-0.419185171	-0.485424048	-0.503673534	-0.504349441	-0.450952796	-0.513136231	-0.465822748	-0.087314883	-0.536117065	-0.514488045	-0.40634294	-0.17518278	-0.111647531	5.374688792	-0.173830966	-0.272513374	3.093502998	0.546009885	0.243203593	-0.25358798	-0.225875797	-0.327261833	-0.29954965	-0.208978125	-0.553014738	0.061384636	-0.210329939	0.04516287	0.575073881	-0.173830966	-0.062306327	-0.077176279	-0.193432266	0.204000992	-0.225199891	-0.279272443	-0.410398382	-0.275217001	-0.256967515	-0.266430212	-0.1772105	-0.056899072
ENST00000476391.5	-0.311883394	0.204496097	-0.271383042	-0.419884333	-0.615636036	-0.450259597	-0.629136153	-1.027389616	-0.153257015	0.224746273	-0.48738492	-0.561635566	-0.480634862	-1.807021396	-1.638269929	3.174521925	0.336122241	0.639874883	1.449881927	1.730009363	0.214621185	1.01787817	-0.74726218	-0.868763237	-0.396259128	-0.288258189	-1.479643549	0.562249208	0.042494688	-0.203882455	0.224746273	-1.064514939	-0.676386564	-0.494134979	1.780634803	1.156254373	0.319247094	-0.551510478	-0.814762767	-0.28150813	0.764750969	0.275371713	0.494748621	2.10801265
ENST00000478434.4	-0.194970093	0.544571639	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	6.312997152	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	1.136205025	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093	-0.194970093
ENST00000482434.1	0.690014548	2.847217926	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	4.28535351	2.847217926	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	1.249289498	-0.34863893	1.329185919	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893	-0.34863893
ENST00000483134.5	0.270483111	0.131611969	-0.576630855	-0.507195284	-0.548856627	-0.215565886	-0.368324143	-0.521082399	-0.396098371	0.006627941	-0.271114343	-0.534969513	-0.604405084	-0.49330817	-0.396098371	5.311505565	-0.007259173	-0.604405084	1.22869399	-0.090581859	-0.743276226	-0.534969513	-0.465533942	-0.423872599	-0.423872599	-0.562743741	-0.743276226	0.117724854	1.200919762	2.381324469	0.173273311	-0.257227229	-0.423872599	-0.118356087	-0.271114343	-0.354437028	0.187160425	-0.16001743	-0.048920516	-0.076694744	0.076063512	0.062176398	0.173273311	0.423241367
ENST00000485445.5	-0.061703769	0.556337232	-0.812182127	-0.14999534	0.070733589	1.15230534	0.070733589	0.114879374	0.777066161	0.754993268	1.814492127	0.84328484	-0.260359805	-0.525234519	-0.768036341	3.66861513	1.969002377	0.15902516	2.432533128	-0.14999534	-1.364004449	-0.900473699	-0.591453198	-0.723890555	-0.503161627	-0.745963448	-0.790109234	-0.591453198	-0.260359805	-0.127922447	0.00451491	-0.790109234	-0.481088734	-0.459015841	-0.635598984	-0.481088734	-0.459015841	-1.010838163	-1.099129735	-0.569380305	-0.105849555	-0.14999534	0.026587803	1.15230534
ENST00000486305.6	0.033737563	1.629524306	-0.114707715	-0.040485076	-0.114707715	0.219294161	-0.188930354	-0.226041674	-0.040485076	0.33062812	0.107960202	-0.077596396	-0.003373756	-0.040485076	0.070848883	5.155099668	0.590407357	-0.745600148	2.037748822	-0.374486952	-0.745600148	-0.745600148	-0.745600148	-0.745600148	0.404850759	0.701741316	-0.745600148	-0.226041674	-0.745600148	0.775963955	-0.300264313	-0.745600148	-0.745600148	-0.745600148	-0.337375633	-0.226041674	0.107960202	-0.745600148	-0.745600148	-0.745600148	-0.040485076	-0.003373756	0.033737563	-0.151819035
ENST00000492486.5	1.52402008	1.449242402	-1.354920557	-1.196017989	-0.691268656	-0.625838187	0.710812823	-0.298685842	-0.990379372	-0.569754928	-0.569754928	-1.037115421	-1.214712409	0.028466503	0.794937711	3.365420423	0.636035144	-0.532366089	2.178324771	-0.177172114	-1.326878927	-0.4482412	-0.822129595	-0.784740755	-0.803435175	-0.952990533	-1.12124031	0.037813713	0.084549762	1.56140892	0.280841169	-0.494977249	-0.317380262	-0.177172114	0.24345233	0.075202552	0.757548872	0.2154107	-0.326727472	0.075202552	0.458438156	0.402354897	0.664076773	1.290339834
ENST00000494068.1	-0.513882294	-0.025931753	-0.000250146	-0.341448644	-0.455181477	-0.113982978	-0.047944559	-0.561576708	-0.275410225	-0.429499869	-0.220378209	-0.444175074	-0.422162267	-0.587258315	-0.15433979	3.752933338	-0.022262952	-0.46618788	3.261313996	-0.047944559	-1.126572071	-0.877093599	-0.723003954	-0.711997551	-0.308429434	-0.49920709	-0.8807624	-0.425831068	3.301670808	0.19052751	0.223546719	-0.044275758	-0.440506273	0.146501897	-0.418493466	0.014425059	-0.297423031	0.1575083	0.274909934	0.359292358	0.05478187	-0.029600554	0.084132279	0.091469881
