	Testis_sex1	Adrenal_Gland_sex1	Brain_Spinal_cord_cervical_c_1_sex1	Brain_Amygdala_sex1	Brain_Anterior_cingulate_cortex_BA24_sex1	Brain_Caudate_basal_ganglia_sex1	Brain_Cortex_sex1	Brain_Frontal_Cortex_BA9_sex1	Brain_Hippocampus_sex1	Brain_Hypothalamus_sex1	Brain_Nucleus_accumbens_basal_ganglia_sex1	Brain_Putamen_basal_ganglia_sex1	Brain_Substantia_nigra_sex1	Brain_Cerebellar_Hemisphere_sex1	Brain_Cerebellum_sex1	Pituitary_sex1	Kidney_Cortex_sex1	Liver_sex1	Thyroid_sex1	Spleen_sex1	Whole_Blood_sex1	Esophagus_Mucosa_sex1	Skin_Not_Sun_Exposed_Suprapubic_sex1	Skin_Sun_Exposed_Lower_leg_sex1	Heart_Atrial_Appendage_sex1	Heart_Left_Ventricle_sex1	Muscle_Skeletal_sex1	Lung_sex1	Nerve_Tibial_sex1	Pancreas_sex1	Minor_Salivary_Gland_sex1	Adipose_Subcutaneous_sex1	Adipose_Visceral_Omentum_sex1	Breast_Mammary_Tissue_sex1	Colon_Transverse_sex1	Small_Intestine_Terminal_Ileum_sex1	Stomach_sex1	Artery_Aorta_sex1	Artery_Tibial_sex1	Artery_Coronary_sex1	Colon_Sigmoid_sex1	Esophagus_Muscularis_sex1	Esophagus_Gastroesophageal_Junction_sex1	Prostate_sex1
ENST00000483450.1	2.82753946	-0.074191997	0.433611008	-0.291821857	-0.727081575	-0.654538289	-0.799624862	-1.597601012	-0.146735284	-0.43690843	-0.43690843	-0.872168148	-0.291821857	-1.597601012	-0.509451716	-0.509451716	-0.43690843	-0.146735284	1.957020022	0.215981148	-1.597601012	-0.001648711	0.506154294	0.361067721	-0.654538289	-0.872168148	-1.597601012	-0.291821857	3.045169319	0.143437862	0.57869758	0.433611008	-0.21927857	1.159043872	1.013957299	0.215981148	-0.074191997	-0.291821857	-0.146735284	-0.001648711	0.433611008	0.143437862	0.143437862	1.666846877
ENST00000484213.1	-0.146314203	-0.671850934	-0.861628087	-0.949217542	-0.978414027	-0.832431602	-0.774038632	-1.036806997	-0.934619299	-0.99301227	-0.920021057	-0.934619299	-0.920021057	-0.671850934	-0.087921233	-0.014930021	-0.423680811	2.700343088	-0.117117718	-0.438279054	-1.16819118	-0.204707174	1.021545198	0.787973318	0.101855919	-0.423680811	-0.920021057	0.014266464	3.955791944	0.948553985	-0.044126506	0.247838345	-0.248501901	0.729580348	0.612794408	0.729580348	0.68578562	0.320829557	0.116454162	0.379222527	0.933955743	0.612794408	0.890161015	-0.073322991
ENST00000497381.1	-0.426101903	-0.058484575	-0.426101903	-1.324722037	-1.079643818	-0.712026491	-0.181023684	-0.752872861	-0.671180121	0.145747274	-0.221870054	-0.87541197	-0.87541197	0.595057341	0.75844282	1.534523845	-0.997951079	-0.8345656	0.390825492	0.554210971	0.75844282	0.676750081	0.962674669	1.697909324	-0.344409163	-1.365568407	-1.120490188	0.023208165	4.107845139	0.390825492	0.104900904	1.616216585	-0.916258339	0.962674669	-0.181023684	0.186593644	-0.262716424	-0.548641012	-0.712026491	-0.79371923	0.023208165	-0.058484575	0.186593644	0.064054534
ENST00000558924.1	-0.927590913	0.566861113	0.66992677	-0.721459599	-1.288320712	-0.412262628	-1.03065657	-1.33985354	-0.103065657	-0.876058084	-0.66992677	-0.463795456	-0.154598485	-0.309196971	-0.360729799	0.051532828	-0.360729799	0.515328285	0.463795456	2.215911625	-1.133722227	0.154598485	0.515328285	0.154598485	0.360729799	0.463795456	-2.009780311	2.37051011	3.710363651	-0.412262628	0.927590913	0.412262628	-0.309196971	0.206131314	0.257664142	0.66992677	-0.566861113	-0.103065657	-1.03065657	0.051532828	-0.154598485	-0.360729799	-0.051532828	0.412262628
ENST00000371150.5	-0.294695712	-0.294695712	1.25441272	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.00782378	-0.294695712	-0.294695712	0.766730436	-0.294695712	-0.294695712	-0.294695712	-0.294695712	0.049550606	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	5.471430117	2.803521151	-0.294695712	-0.294695712	-0.00782378	-0.00782378	-0.294695712	-0.294695712	-0.00782378	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712	-0.294695712
ENST00000381486.6	1.051931801	1.665791208	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	0.92915992	-0.421330774	1.665791208	0.806388039	-0.421330774	-0.421330774	-0.421330774	1.665791208	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	-0.421330774	0.92915992	1.174703683	4.857860122
ENST00000524679.1	-0.897388659	2.01685179	-0.897388659	0.359734672	0.131166794	0.70258649	0.131166794	0.359734672	-0.040259115	-0.325968963	0.416876642	0.64544452	0.474018611	-0.897388659	-0.897388659	1.045438307	-0.211685024	-0.211685024	0.131166794	-0.897388659	-0.897388659	1.616858003	0.016882855	0.074024824	-0.897388659	-0.897388659	1.559716033	-0.897388659	3.731110878	-0.897388659	2.01685179	-0.268826993	0.074024824	-0.040259115	-0.897388659	-0.897388659	-0.897388659	0.074024824	0.016882855	-0.040259115	-0.897388659	-0.897388659	-0.897388659	-0.097401085
ENST00000554527.1	-0.434473588	-0.661730338	-0.988980059	0.092762074	0.347289634	0.556365845	0.574546385	0.047310724	-0.598098448	-0.770813579	0.365470174	0.138213424	-0.752633039	-0.925348169	-0.752633039	0.619997735	2.138072829	-0.879896819	1.392670687	1.156323667	-0.979889789	-0.479924938	0.047310724	0.301838284	-0.425383318	-0.825355199	-0.970799519	-0.098133597	4.656077626	-0.852626009	-0.479924938	-0.079953057	0.129123154	-0.225397377	-0.316300077	0.429102065	-0.089043327	-0.798084389	-0.816264929	-0.334480617	0.201845314	0.365470174	0.910886376	0.065491264
ENST00000558189.1	-0.59708476	-0.200394267	1.007708596	-0.669210304	-0.633147532	0.124170681	0.070076523	-0.651178918	0.647080875	-0.182362881	0.538892559	-0.074174565	0.124170681	-1.426528516	-1.174089112	-0.416770899	-1.895344552	-0.524959215	1.115896912	2.125654528	-2.183846729	-0.993775252	1.44046186	1.512587404	-1.264246042	1.115896912	-0.579053374	-0.975743866	1.332273544	0.430704243	1.043771368	1.674869878	-1.336371586	1.07983414	0.574955331	1.151959684	0.106139295	0.142202067	-0.488896443	-1.13802634	0.160233453	-0.074174565	-0.020080407	-0.020080407
ENST00000579350.1	-0.552696024	0.006352828	0.453591909	-0.999935105	-1.223554646	1.683499383	0.621306565	-0.496791139	-0.496791139	-1.279459531	1.068545646	0.453591909	-0.83222045	-1.223554646	-0.384981368	-0.049552057	-1.167649761	-1.05583999	0.285877254	1.739404268	1.795309153	-0.664505794	0.062257713	0.006352828	0.174067483	-0.94403022	-2.285747464	-0.273171598	3.081121513	0.397687024	0.229972369	0.285877254	-0.999935105	0.174067483	0.062257713	1.515784728	0.341782139	-0.049552057	-0.720410679	-0.552696024	0.56540168	0.509496794	0.900830991	-0.161361828
ENST00000459981.1	1.369421346	-1.31180815	1.588794668	-0.068692657	-0.799937064	-0.019943029	-0.263691165	-0.678062996	0.686926565	-0.36119042	-0.483064488	0.418803615	0.662551751	1.271922091	1.613169482	-0.994935573	-0.580563742	-1.31180815	-0.799937064	-0.336815606	-1.31180815	-0.848686692	-0.751187437	-0.629313369	-0.70243781	-0.604938556	-0.726812624	0.540677683	3.368156061	-0.678062996	-0.458689674	0.686926565	-0.068692657	0.686926565	0.686926565	-0.09306747	0.272554734	-1.31180815	-0.873061505	-0.848686692	1.345046532	1.003799142	1.12567321	0.589427311
ENST00000465525.6	-0.627047653	-1.275378909	1.015391526	-0.58382557	-0.266863623	-0.871972794	0.900132637	0.410282355	0.626392773	1.64931542	-0.425344596	-1.001639045	0.712836941	0.367060271	0.58317069	1.130650416	-0.598232931	0.741651663	-0.641455015	-1.030453768	-1.808451274	-0.799935988	0.021283602	0.655207496	0.539948606	-0.151604733	-0.439751957	0.439097077	3.075644182	0.842503192	1.591685975	-0.540603486	-0.670269737	-0.511788764	-1.044861129	-1.246564186	-0.612640292	0.266208743	-0.511788764	-0.439751957	-0.814343349	-0.555010847	-0.425344596	2.326461398
ENST00000545265.5	-0.488808543	-0.488808543	0.554685705	0.67062951	0.438741899	0.728601413	0.496713802	0.206854289	0.728601413	0.090910484	0.496713802	0.67062951	0.496713802	0.148882386	0.206854289	-0.488808543	-0.488808543	-0.488808543	-0.488808543	-0.488808543	-0.488808543	-0.488808543	-0.488808543	-0.488808543	-0.488808543	-0.488808543	0.264826192	-0.488808543	5.30838172	-0.488808543	2.177898978	-0.488808543	-0.488808543	-0.488808543	-0.488808543	-0.488808543	-0.488808543	-0.488808543	-0.488808543	-0.488808543	-0.488808543	-0.488808543	-0.488808543	-0.488808543
ENST00000549159.1	1.126991635	-0.60684165	2.761748732	0.136229758	-1.003146401	-0.408689274	-0.904070213	-0.854532119	0.879301166	-0.012384523	-0.705917837	-0.557303556	1.027915447	1.57283448	1.275605917	-0.160998805	-1.696679714	-1.102222588	-0.804994025	0.780224978	-1.795755902	-0.260074993	0.334382134	0.28484404	-0.705917837	-0.705917837	1.770986855	-0.012384523	1.919601137	-1.102222588	-0.60684165	1.57283448	0.136229758	1.176529729	-0.210536899	0.582072603	-0.458227368	-0.309613087	-1.003146401	-0.260074993	-0.111460711	-0.35915118	-0.210536899	-0.408689274
ENST00000633372.1	-0.519852713	-0.519852713	0.661805114	0.661805114	2.771908377	-0.519852713	0.324188592	0.492996853	1.674654681	-0.519852713	-0.519852713	-0.519852713	-0.519852713	-0.519852713	-0.519852713	-0.519852713	0.492996853	-0.519852713	-0.519852713	0.830613375	1.083825767	-0.519852713	0.492996853	0.661805114	-0.519852713	-0.519852713	-0.519852713	-0.519852713	4.459990988	-0.519852713	0.408592723	-0.519852713	0.577400984	-0.519852713	-0.519852713	-0.519852713	-0.519852713	-0.519852713	-0.519852713	-0.519852713	-0.519852713	-0.519852713	-0.519852713	-0.519852713
ENST00000531805.5	3.717391155	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	2.209877691	3.968643399	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	-0.302644748	2.209877691
ENST00000251630.10	-0.496955259	-0.605314696	-0.636919532	-0.64895947	-0.650464462	-0.533075072	-0.660999407	-0.665514384	-0.662504399	-0.67002936	-0.478895353	-0.521035134	-0.69711922	-0.721199094	-0.716684118	-0.214016729	-0.69711922	-0.724209079	1.071246594	-0.742268985	-0.770863836	-0.682069298	-0.065022503	0.14417141	-0.06953748	0.255540832	0.163736309	-0.391605807	4.051131115	-0.281741377	0.389485136	1.898992294	1.763542998	2.704163112	-0.326891143	-0.513510173	-0.158332018	0.48881462	0.682958611	0.538479362	0.071931785	0.368415245	0.791318048	-0.381070861
ENST00000252329.3	0.085754818	-0.594660458	-0.656516392	-0.532804524	-0.347236721	-0.718372327	-0.161668919	-0.099812985	-0.594660458	0.209466686	-0.718372327	-0.842084195	-0.409092656	0.085754818	0.209466686	0.951737896	-0.223524853	-0.718372327	0.70431416	1.199161633	-1.151363866	-0.347236721	-0.842084195	-0.161668919	-0.965796063	-0.780228261	-0.532804524	0.333178555	4.41567021	-0.656516392	-0.161668919	2.869271856	0.395034489	0.580602291	1.199161633	0.147610752	-0.594660458	-0.656516392	0.395034489	-0.409092656	-0.099812985	-0.285380787	-0.223524853	0.70431416
ENST00000262816.11	2.498875404	-1.52712993	-0.122709465	-1.121408462	-1.277455181	-0.466012245	-0.497221589	-1.18382715	-0.622058964	-0.871733713	-0.996571088	-0.9341524	-0.840524369	0.688733471	1.375339031	1.500176406	-0.559640276	-1.308664524	1.468967062	-0.653268307	-0.59084962	-0.684477651	0.563896096	0.782361502	0.59510544	-0.060290778	0.189383972	-0.122709465	2.748550153	-1.152617806	-0.434802902	0.00212791	-0.434802902	0.126965284	-0.24754684	-0.622058964	-0.528430933	0.969617564	0.875989533	0.407849378	1.125664282	0.34543069	0.719942814	0.875989533
ENST00000263265.10	-0.317361104	-0.116634171	-0.119805928	-0.354515977	-0.40662342	-0.368109223	-0.41931045	-0.422935315	-0.344547596	-0.299236776	-0.400279905	-0.378530712	-0.320532862	-0.463261945	-0.45963708	-0.033262261	-0.144273771	-0.108478223	-0.001544687	-0.260269471	-0.46462127	-0.251207307	-0.230817438	-0.191397024	0.137106423	-0.009700635	-0.145179987	-0.091260111	6.310252575	-0.331407459	-0.227192572	0.142090613	-0.005169553	0.043313025	-0.083557272	-0.201818513	-0.131133633	0.411689994	0.115357229	0.388581475	0.232259145	0.173808187	0.205525762	-0.05637078
ENST00000334289.7	0.089650684	-0.668074872	-0.400642323	-0.668074872	-0.668074872	-0.422928369	-0.668074872	-0.668074872	-0.668074872	-0.445214415	-0.668074872	-0.378356277	-0.668074872	-0.668074872	-0.668074872	-0.400642323	-0.668074872	-0.668074872	0.134222776	-0.668074872	-0.668074872	-0.668074872	0.579943691	1.53824366	2.251397125	0.936520424	-0.222353957	-0.110923728	1.582815752	-0.668074872	-0.200067911	3.878278467	0.334797188	1.337669248	-0.378356277	-0.378356277	-0.668074872	-0.088637682	1.627387843	1.649673889	-0.422928369	-0.200067911	0.134222776	-0.668074872
ENST00000355496.9	-0.283886306	-0.177070313	-0.076728017	-0.274175762	-0.322728486	-0.303307396	-0.329202182	-0.335675879	-0.261228369	-0.228859886	-0.322728486	-0.303307396	-0.241807279	-0.384228603	-0.384228603	-0.112333348	-0.16412292	-0.190017707	-0.125280741	-0.261228369	-0.384228603	-0.241807279	-0.215912493	-0.16412292	0.188693541	0.033324824	0.000956342	-0.047596383	6.393731679	-0.306544244	-0.215912493	0.111009183	-0.07025432	0.007430038	-0.131754438	-0.225623038	-0.173833465	0.195167238	0.017140583	0.201640934	0.062456459	0.072167004	0.0786407	-0.102622803
ENST00000394085.7	-1.143019276	-0.576161877	0.541806883	-0.639146032	-0.828098498	-0.198256944	-0.544669799	-0.875336615	-0.324225255	-0.497431682	-0.686384149	-0.780860382	-0.324225255	0.431584611	1.108664282	-0.072288633	-1.048543042	-1.520924208	0.683521232	0.699267271	-1.977559335	-0.875336615	0.116663833	0.541806883	-0.812352459	-0.591907915	-0.733622265	-0.292733177	2.93520479	1.203140515	-0.576161877	2.478569663	0.415838572	2.084918691	0.179647989	1.250378631	0.840981621	-0.040796555	0.179647989	0.148155911	0.415838572	0.148155911	0.557552922	-1.001304926
ENST00000396402.5	0.032944244	1.154291736	-0.10380545	-0.596104348	-0.596104348	-0.596104348	-0.596104348	-0.596104348	-0.596104348	0.005594306	-0.596104348	-0.596104348	-0.596104348	-0.596104348	-0.596104348	-0.596104348	-0.596104348	-0.596104348	0.798742531	-0.213205205	2.521788676	-0.596104348	-0.076455511	0.36114351	0.197043877	-0.596104348	-0.32260496	-0.267905082	3.451686595	-0.32260496	-0.049105572	3.615786228	0.197043877	0.579943021	-0.596104348	-0.596104348	-0.596104348	-0.240555144	0.333793571	1.126941797	-0.596104348	-0.295255021	-0.295255021	-0.267905082
ENST00000396404.8	-0.184556372	0.494413558	-0.483303141	-0.483303141	-0.483303141	-0.483303141	-0.483303141	-0.483303141	-0.483303141	-0.211715169	-0.483303141	-0.483303141	-0.483303141	-0.483303141	-0.483303141	-0.483303141	-0.483303141	-0.483303141	0.684525138	-0.211715169	1.607924243	-0.483303141	-0.021603589	0.467254761	0.114190397	-0.483303141	-0.483303141	-0.184556372	2.9930229	-0.483303141	-0.021603589	4.758344718	0.222825586	0.684525138	-0.483303141	-0.483303141	-0.483303141	-0.075921183	0.548731152	0.901795516	-0.483303141	-0.483303141	-0.483303141	-0.483303141
ENST00000406880.1	-0.188731728	-0.188731728	-0.055282267	-0.188731728	-0.188731728	-0.188731728	-0.188731728	-0.188731728	-0.188731728	-0.188731728	-0.188731728	-0.188731728	-0.188731728	-0.188731728	-0.188731728	-0.128072882	-0.188731728	-0.049216382	-0.188731728	-0.188731728	-0.188731728	-0.188731728	-0.188731728	-0.188731728	-0.079545805	-0.188731728	-0.188731728	-0.188731728	6.45947782	-0.188731728	-0.188731728	-0.091677574	-0.188731728	-0.188731728	-0.188731728	-0.188731728	-0.188731728	0.066035426	-0.188731728	0.254077849	-0.109875228	-0.08561169	-0.08561169	-0.055282267
ENST00000407433.5	-0.616828502	-0.568441171	-0.52731194	-0.52005384	-0.587796104	-0.447472843	-0.643441535	-0.631344702	-0.42811791	-0.44263411	-0.52005384	-0.563602438	-0.556344338	-0.839410226	-0.824894027	-0.399085512	-0.130535823	3.500933388	-0.074890392	-0.249084785	-0.812797194	-0.316827049	-0.152310122	0.123497666	0.752532972	0.234788528	-0.638602801	0.372692422	3.566256285	-0.769248596	-0.52731194	0.26865966	0.162207531	0.060594135	-0.120858357	-0.123277724	-0.539408772	2.685606856	0.309788891	1.238825652	-0.103922791	0.307369525	0.430757219	-0.338601348
ENST00000409120.5	0.484729677	-1.898298903	0.484729677	-0.349330326	-0.349330326	0.842183964	0.246426819	-0.111027468	0.246426819	-0.230178897	1.795395396	0.484729677	-0.706784613	-0.706784613	-0.230178897	0.961335393	-0.349330326	-0.706784613	0.484729677	-0.706784613	-1.898298903	-1.898298903	1.795395396	1.795395396	0.723032535	-0.111027468	0.246426819	0.12727539	1.676243967	-0.468481755	0.365578248	1.31878968	0.842183964	0.842183964	-1.898298903	-0.706784613	-0.468481755	1.080486822	0.12727539	0.484729677	-0.587633184	-1.898298903	-0.706784613	-0.468481755
ENST00000433782.6	3.138441657	-0.454434991	-0.298222963	-0.532541005	-1.39170716	-0.610647019	-1.39170716	-1.39170716	-0.532541005	-1.39170716	-1.39170716	-1.39170716	-1.39170716	-0.454434991	-0.142010935	0.170413122	-0.220116949	-0.376328977	1.107685291	-0.063904921	-1.39170716	-0.532541005	-0.610647019	-0.532541005	0.560943192	-0.298222963	0.404731164	0.092307108	2.201169488	0.014201093	0.248519136	0.795261234	0.248519136	0.560943192	0.32662515	0.092307108	0.092307108	1.107685291	1.498215361	1.263897319	0.795261234	0.560943192	0.639049206	0.873367248
ENST00000446583.6	2.904250442	-0.760720232	-0.760720232	-0.760720232	-0.760720232	-0.504428577	-0.760720232	-0.760720232	-0.760720232	-0.760720232	-0.760720232	-0.478799411	-0.760720232	-0.760720232	-0.760720232	-0.350653583	-0.760720232	-0.299395252	-0.043103597	-0.760720232	-0.760720232	-0.299395252	-0.273766087	-0.068732762	2.366037965	1.263983847	-0.171249424	1.87908382	3.058025435	-0.760720232	-0.760720232	0.72577137	0.597625542	0.187558893	-0.068732762	0.085042231	0.238817224	-0.453170245	0.085042231	-0.068732762	0.059413066	1.084579688	1.110208853	0.366963052
ENST00000460238.1	-1.070908426	0.875351235	-0.592879737	-0.558734831	-0.695314456	-0.627024643	-0.353865393	-0.729459362	-0.592879737	-0.66116955	-1.070908426	-0.627024643	-0.627024643	-1.070908426	-1.070908426	-0.695314456	0.158308202	0.670481797	-0.388010299	-0.558734831	-1.070908426	0.329032734	1.148510485	1.38752483	-0.456300112	-0.183140861	-0.490445018	0.055873483	3.70937846	1.592394268	0.192453108	2.582596551	0.602191984	1.046075766	-0.66116955	-0.456300112	0.329032734	0.021728577	1.353379923	0.090018389	-0.592879737	-0.183140861	-0.148995955	0.090018389
ENST00000460872.1	-0.58191695	-0.545905211	-0.545905211	-0.888016723	-0.888016723	-0.707958033	-0.58191695	-0.707958033	-0.707958033	-0.671946295	-0.888016723	-0.888016723	-0.689952164	-0.888016723	-0.707958033	-0.38385239	-0.707958033	0.084300205	0.084300205	-0.888016723	-0.888016723	-0.365846521	-0.293823045	0.084300205	1.524769728	1.236675824	0.786529098	0.048288467	3.469403585	-0.56391108	0.030282598	2.425063181	1.68682255	1.236675824	-0.059746747	-0.257811307	-0.131770223	-0.401858259	-0.167781962	0.5524528	0.426411717	1.290693431	1.596793205	-0.56391108
ENST00000461392.1	0.034423148	-0.882881012	0.077088457	-1.074874906	-0.904213667	-1.330866764	-0.178903401	-0.30689933	-0.690887118	-0.626889153	-0.946878976	-1.245536144	-1.074874906	0.994392617	1.399713059	0.503741555	-0.050907472	-0.221568711	0.589072174	-0.541558534	-0.733552428	-0.669554463	0.354412971	0.247749696	-0.776217737	-0.712219773	-1.202870835	-0.328231985	1.698370227	-0.008242162	0.546406864	3.042327484	1.869031466	2.701005006	-0.648221808	-0.477560569	-0.626889153	0.4824089	0.4824089	0.674402794	-0.242901366	-0.221568711	0.119753767	0.909061997
ENST00000464313.1	-0.555341443	-0.654268664	0.466906504	-0.720220144	-0.918074586	-0.753195884	-0.819147365	-0.984026066	-0.489389963	-0.753195884	-0.885098845	-0.852123105	-0.456414223	-1.017001806	-0.918074586	-0.324511262	-0.522365703	-0.753195884	0.071197621	0.730712425	-0.951050326	-0.522365703	0.400955023	0.269052062	0.203100582	0.433930763	-0.621292924	0.928566867	4.45697107	-0.324511262	-0.291535521	1.983790554	0.928566867	1.851887593	-0.06070534	-0.06070534	-0.159632561	0.038221881	0.269052062	0.697736685	0.664760945	0.269052062	0.532857984	0.170124842
ENST00000466648.1	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	6.482493908	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672
ENST00000467049.1	0.234921119	-0.113041251	0.480541615	-0.317724998	-0.58381387	0.224686932	0.009768997	-0.471237809	0.245155306	-0.34842756	0.419136491	0.122345058	0.081408309	-0.58381387	-0.338193373	0.511244178	-0.317724998	-0.706624118	-0.113041251	-0.665687369	-1.08528905	-0.655453181	-0.440535247	-0.38936431	0.869440735	0.275857868	-0.276788249	0.091642496	6.017236976	0.15304762	-0.215383125	-0.225617312	-0.246085687	-0.276788249	-0.215383125	-0.461003621	0.071174121	-0.00046519	-0.256319874	-0.020933565	-0.113041251	-0.04140194	0.060939934	-0.38936431
ENST00000470393.1	1.285399475	0.019775377	-0.929442697	-0.929442697	-0.929442697	-0.929442697	-0.929442697	-0.929442697	-0.929442697	-0.929442697	-0.929442697	-0.929442697	-0.929442697	-0.138427636	0.57348592	-0.138427636	0.019775377	-0.929442697	0.96899345	-0.929442697	-0.929442697	-0.929442697	0.96899345	0.889891944	0.96899345	0.257079895	-0.929442697	0.652587426	3.737546165	0.019775377	2.076414536	0.652587426	0.415282907	0.57348592	-0.929442697	-0.929442697	0.019775377	0.96899345	0.810790438	0.652587426	0.257079895	0.019775377	0.177978389	0.019775377
ENST00000471210.1	0.004573818	-0.609762171	-0.64153817	-0.64153817	-0.66272217	-0.68390617	-0.609762171	-0.726274169	-0.64153817	-0.599170171	-0.705090169	-0.67331417	-0.514434173	-0.885154166	-0.885154166	-0.228450178	-0.885154166	-0.68390617	0.279965813	-0.885154166	-0.885154166	-0.228450178	-0.408514175	-0.186082179	0.44943781	-0.11193818	-0.525026173	0.110493816	4.146045745	-0.64153817	0.078717817	1.445085793	2.017053782	1.709885788	0.078717817	-0.408514175	0.47062181	-0.12253018	0.258781814	0.534173809	0.46002981	0.926077802	1.879357785	0.830749803
ENST00000471598.1	-0.607836871	-0.607836871	-0.607836871	-0.607836871	0.62464342	-0.607836871	1.117635536	0.871139478	0.62464342	2.473363856	0.747891449	-0.607836871	-0.607836871	-0.607836871	-0.607836871	-0.607836871	-0.607836871	-0.607836871	-0.607836871	-0.607836871	-0.607836871	-0.607836871	0.871139478	-0.607836871	-0.607836871	0.871139478	-0.607836871	0.62464342	2.719859915	-0.607836871	-0.607836871	1.857123711	0.871139478	2.719859915	-0.607836871	-0.607836871	-0.607836871	-0.607836871	-0.607836871	-0.607836871	-0.607836871	-0.607836871	-0.607836871	1.240883566
ENST00000475168.1	-0.573964542	-0.962494385	1.271552216	-0.865361925	-1.059626846	-0.768229464	-0.962494385	-0.962494385	-0.37969962	-0.671097003	-0.962494385	-0.865361925	-0.088302237	0.591624989	0.203095146	-0.37969962	-1.156759307	-0.671097003	-0.185434698	-0.37969962	0.300227606	-0.768229464	2.340009286	1.951479442	-0.185434698	-0.476832081	2.048611903	0.397360067	1.951479442	-0.671097003	0.105962685	2.340009286	1.174419755	1.951479442	-0.476832081	-0.282567159	-0.768229464	-0.185434698	0.105962685	0.300227606	-0.185434698	-0.476832081	-0.282567159	-0.37969962
ENST00000476370.1	-0.200502917	-0.300125445	-0.543647181	-0.953206463	-1.041759822	-0.942137294	-0.964275633	-1.074967331	-0.864653105	-0.964275633	-0.986413973	-0.986413973	-0.853583935	-0.322263785	-0.123018728	-0.643269709	-0.654338879	-0.410817143	0.297609725	-0.178364577	-0.809307256	-0.643269709	0.098364668	0.5632698	0.972829083	1.404526705	-0.277987105	0.806791536	2.854587949	-0.58792386	-0.067672879	3.308423911	1.404526705	1.946916025	-0.111949558	0.817860705	-0.123018728	0.164779687	0.5632698	0.629684819	-0.100880388	0.00981131	0.330817234	-0.444024652
ENST00000477361.1	1.178091382	3.223695132	0.25018865	-0.719891479	-0.762068876	-0.551181891	0.060390364	-0.867512368	-0.340294907	-0.445738399	-0.719891479	-0.804246273	-0.445738399	-0.530093193	0.208011253	0.608696523	-0.002875732	-0.656625384	1.410067065	-0.635536685	-0.403561002	-1.015133257	-1.078399353	-0.994044559	1.789663637	0.946115699	-1.12057675	0.967204397	3.160429036	-0.635536685	-0.150496621	0.271277348	-0.045053129	-0.02396443	-0.888601067	-1.015133257	-0.635536685	0.397809539	-0.255940113	0.587607825	-0.29811751	-0.02396443	0.123656459	0.882849603
ENST00000479402.1	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	6.482493908	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672	-0.150755672
